,num_features,h,diagonal
0,10,1,0.39
1,10,1,0.3901
2,10,1,0.379
3,10,1,0.3659
4,10,1,0.3501
5,10,1,0.359
6,10,1,0.3892
7,10,1,0.3301
8,10,1,0.3515
9,10,1,0.3787
10,10,1,0.3684
11,10,1,0.3589
12,10,1,0.329
13,10,1,0.3583
14,10,1,0.3554
15,10,2,0.6565
16,10,2,0.6704
17,10,2,0.6516
18,10,2,0.6381
19,10,2,0.6541
20,10,2,0.6443
21,10,2,0.6687
22,10,2,0.6286
23,10,2,0.6411
24,10,2,0.6637
25,10,2,0.6521
26,10,2,0.6392
27,10,2,0.6102
28,10,2,0.6173
29,10,2,0.636
30,10,3,0.8396
31,10,3,0.8562
32,10,3,0.8372
33,10,3,0.8249
34,10,3,0.8477
35,10,3,0.8431
36,10,3,0.8479
37,10,3,0.832
38,10,3,0.8387
39,10,3,0.8446
40,10,3,0.8393
41,10,3,0.8425
42,10,3,0.8232
43,10,3,0.8231
44,10,3,0.8273
45,10,4,0.9299
46,10,4,0.9434
47,10,4,0.9307
48,10,4,0.9254
49,10,4,0.9347
50,10,4,0.9355
51,10,4,0.93
52,10,4,0.9284
53,10,4,0.9361
54,10,4,0.9334
55,10,4,0.9357
56,10,4,0.9347
57,10,4,0.928
58,10,4,0.9259
59,10,4,0.9267
60,10,5,0.9766
61,10,5,0.9819
62,10,5,0.9749
63,10,5,0.9728
64,10,5,0.9744
65,10,5,0.977
66,10,5,0.9751
67,10,5,0.9746
68,10,5,0.9792
69,10,5,0.9773
70,10,5,0.9805
71,10,5,0.98
72,10,5,0.9784
73,10,5,0.9751
74,10,5,0.9733
75,10,6,0.9939
76,10,6,0.9953
77,10,6,0.9932
78,10,6,0.9936
79,10,6,0.9939
80,10,6,0.9936
81,10,6,0.994
82,10,6,0.992
83,10,6,0.994
84,10,6,0.9943
85,10,6,0.9946
86,10,6,0.9944
87,10,6,0.9945
88,10,6,0.9918
89,10,6,0.993
90,10,7,0.9986
