,h,train_score,test_score
0,1,0.3333333333333333,0.3333333333333333
1,2,0.6,0.4
2,3,0.7333333333333333,0.4666666666666667
3,4,0.8,0.5333333333333333
4,5,0.8,0.8
5,6,0.8666666666666667,0.6
6,7,0.9333333333333333,0.6
7,8,0.9333333333333333,0.6666666666666666
8,9,0.9333333333333333,0.6
9,10,0.9333333333333333,0.6
10,11,0.9333333333333333,0.6
11,12,0.8666666666666667,0.6
12,13,0.8666666666666667,0.6
13,14,0.8666666666666667,0.6
14,15,0.8666666666666667,0.6
15,16,0.8666666666666667,0.6
16,17,0.8,0.6
17,18,0.8,0.6
18,19,0.8,0.6
19,20,0.7333333333333333,0.6
20,21,0.8,0.6
21,22,0.8,0.6
22,23,0.7333333333333333,0.6
23,24,0.8,0.6
