unique_row,randomstate,rows,features,gcq,gamma,N,Sq_zz,Sc,Sq_covariant_qka,SVC train,SVC test,sqrt_n,gcq/sqrt_n,untrained_qsvc_train,untrained_qsvc_test,trained_qsvc_train,trained_qsvc_test
85962817_100_10,85962817,100,10,2.1052061554400927,0.5,49,45.2486052174484,5.392416668072087,4.157324202619833,1.0,0.88,7.0,0.3007437364914418,0.8775510204081632,0.8,0.9387755102040817,0.86
85962817_200_10,85962817,200,10,2.2724573645575714,0.5,99,85.81842026311722,7.106658045468009,4.743758075971073,0.8787878787878788,0.8484848484848485,9.9498743710662,0.22839055849446485,0.8484848484848485,0.7777777777777778,0.8484848484848485,0.7777777777777778
85962817_300_10,85962817,300,10,2.6284121116807997,0.5,150,120.94077839087852,8.354924551960721,5.0932599097141065,0.9466666666666667,0.8133333333333334,12.24744871391589,0.21460895024563972,0.8866666666666667,0.78,0.9,0.7666666666666667
85962817_400_10,85962817,400,10,2.787760562858002,0.5,199,151.9824705127223,9.392530440646624,5.1985587219442095,0.9396984924623115,0.845,14.106735979665885,0.19761910670734972,0.8241206030150754,0.795,0.8693467336683417,0.825
85962817_500_10,85962817,500,10,2.6983349408367734,0.5,249,179.3770524588378,10.136314195675368,5.335506466159131,0.9036144578313253,0.8674698795180723,15.7797338380595,0.17100002880457957,0.8473895582329317,0.8072289156626506,0.8473895582329317,0.8353413654618473
85962817_600_10,85962817,600,10,2.9783261105901575,0.5,300,207.2984074929323,11.069326361199273,5.4394344127504155,0.8833333333333333,0.8633333333333333,17.320508075688775,0.17195373816837184,0.86,0.8333333333333334,0.8533333333333334,0.8133333333333334
85962817_700_10,85962817,700,10,3.049115981893311,0.5,349,228.71379833660822,12.20265389047563,5.509280432481319,0.8796561604584527,0.86,18.681541692269406,0.16321543650517148,0.828080229226361,0.8114285714285714,0.839541547277937,0.8142857142857143
85962817_800_10,85962817,800,10,2.9524419371994397,0.5,399,249.60714525693936,12.952678792877123,5.623581859283149,0.8847117794486216,0.8671679197994987,19.974984355438178,0.14780697119272782,0.8320802005012531,0.8370927318295739,0.8345864661654135,0.8195488721804511
85962817_900_10,85962817,900,10,2.9913137650250032,0.5,450,268.4869501136564,13.67150628566742,5.65370512008667,0.8644444444444445,0.8488888888888889,21.213203435596427,0.14101188319372285,0.8511111111111112,0.8155555555555556,0.8622222222222222,0.7866666666666666
85962817_1000_10,85962817,1000,10,3.292830621149851,0.5,499,285.8258564807514,14.63893415138591,5.716500582173467,0.8657314629258517,0.866,22.338307903688676,0.14740734326641244,0.845691382765531,0.836,0.843687374749499,0.828
16941941_100_10,16941941,100,10,1.9303635862877613,0.5,49,45.463164592438396,5.120161953692389,5.554062426101041,0.6938775510204082,0.76,7.0,0.2757662266125373,0.8571428571428571,0.72,0.7959183673469388,0.7
16941941_200_10,16941941,200,10,2.3445214081929877,0.5,99,85.1933160650652,7.337312621582896,7.110367026246422,0.8181818181818182,0.8585858585858586,9.9498743710662,0.23563326739187318,0.7575757575757576,0.7575757575757576,0.8080808080808081,0.7575757575757576
16941941_300_10,16941941,300,10,2.5469177786261072,0.5,150,120.87383069463687,8.133718835163336,7.904560518208655,0.86,0.8333333333333334,12.24744871391589,0.20795496581522557,0.8666666666666667,0.78,0.86,0.7733333333333333
16941941_400_10,16941941,400,10,3.0024818302334038,0.5,199,152.7062411404782,9.015764577482742,8.649331062892088,0.8542713567839196,0.855,14.106735979665885,0.2128402937831489,0.8291457286432161,0.825,0.8090452261306532,0.825
16941941_500_10,16941941,500,10,3.104551397128677,0.5,249,177.24448190625105,10.158713978540618,9.008489597646985,0.8313253012048193,0.8554216867469879,15.7797338380595,0.19674295073600917,0.8393574297188755,0.8152610441767069,0.8353413654618473,0.7791164658634538
16941941_600_10,16941941,600,10,2.9688310225525743,0.5,300,203.4346612204091,11.185998516704785,9.217382532806369,0.8766666666666667,0.87,17.320508075688775,0.17140553900492406,0.8366666666666667,0.7866666666666666,0.8533333333333334,0.81
16941941_700_10,16941941,700,10,3.6789476269675156,0.5,349,224.43898716735234,12.098238912876695,9.597808501683176,0.8767908309455588,0.84,18.681541692269406,0.19692955150965394,0.8538681948424068,0.8085714285714286,0.8681948424068768,0.8228571428571428
16941941_800_10,16941941,800,10,3.572681416171611,0.5,399,244.80526169747262,13.018086167314323,9.82160801824648,0.9022556390977443,0.8471177944862155,19.974984355438178,0.17885778294484375,0.849624060150376,0.8270676691729323,0.8571428571428571,0.8345864661654135
16941941_900_10,16941941,900,10,4.041353229255421,0.5,450,265.0271632464013,14.127653896808624,9.963029623031616,0.8911111111111111,0.8533333333333334,21.213203435596427,0.190511218238444,0.8622222222222222,0.8155555555555556,0.8577777777777778,0.8133333333333334
16941941_1000_10,16941941,1000,10,3.4052969830446376,0.5,499,280.60500448017046,14.630042961798608,10.216203450225294,0.9238476953907816,0.862,22.338307903688676,0.1524420290796658,0.8577154308617234,0.84,0.8777555110220441,0.834
25457723_100_10,25457723,100,10,2.2597008755188273,0.5,49,45.69809085907204,5.770583763078378,5.953555892981996,0.9795918367346939,0.82,7.0,0.3228144107884039,0.8979591836734694,0.7,0.9387755102040817,0.7
25457723_200_10,25457723,200,10,2.2032462824053645,0.5,99,86.66296107113389,6.45518153291323,6.937154319816727,1.0,0.8181818181818182,9.9498743710662,0.22143458301466684,0.7373737373737373,0.7878787878787878,0.8787878787878788,0.7676767676767676
25457723_300_10,25457723,300,10,2.654140723268053,0.5,150,122.16711802003847,8.373859813680156,7.674197232354345,0.9066666666666666,0.8533333333333334,12.24744871391589,0.21670968258494072,0.7933333333333333,0.7933333333333333,0.8933333333333333,0.8133333333333334
25457723_400_10,25457723,400,10,2.635444049843458,0.5,199,151.43952158871784,9.00141430779513,8.023132969967264,0.9045226130653267,0.87,14.106735979665885,0.1868216753785079,0.7889447236180904,0.795,0.8693467336683417,0.855
25457723_500_10,25457723,500,10,2.829850054888371,0.5,249,182.14683764452187,10.350585190548372,8.207300947367912,0.8714859437751004,0.8714859437751004,15.7797338380595,0.17933446051307858,0.8112449799196787,0.7831325301204819,0.8594377510040161,0.8393574297188755
25457723_600_10,25457723,600,10,3.1040834936559567,0.5,300,206.48941250994136,11.568823759938823,8.559986321954057,0.9366666666666666,0.86,17.320508075688775,0.17921434406493406,0.8266666666666667,0.7466666666666667,0.8566666666666667,0.81
25457723_700_10,25457723,700,10,3.1356048652486233,0.5,349,230.22038359158006,11.957090099924244,8.601896277628839,0.8710601719197708,0.8657142857142858,18.681541692269406,0.1678450802883236,0.8252148997134671,0.78,0.8452722063037249,0.8
25457723_800_10,25457723,800,10,3.1005316266407936,0.5,399,250.60493918175732,12.853299799142405,8.769616477191448,0.8646616541353384,0.8796992481203008,19.974984355438178,0.15522072866088008,0.8170426065162907,0.7744360902255639,0.8646616541353384,0.8395989974937343
25457723_900_10,25457723,900,10,3.1835775072712416,0.5,450,269.8535163744452,14.039825513958931,8.970034420490265,0.8911111111111111,0.8533333333333334,21.213203435596427,0.15007528292163066,0.8266666666666667,0.7555555555555555,0.8488888888888889,0.7955555555555556
