unique_row,randomstate,rows,features,SVC train,SVC test,pqk_train ry + cz,pqk_test ry + cz,pqk_train rxryrx + cz,pqk_test rxryrx + cz,pqk_train ryrzry + cz,pqk_test ryrzry + cz,pqk_train heisenberg,pqk_test heisenberg,pqk_train zzfeaturemap,pqk_test zzfeaturemap,qsvc_zz_featuremap_train,qsvc_zz_featuremap_test
85962817_600_10,85962817,600,10,0.8833333333333333,0.8633333333333333,0.8833333333333333,0.8633333333333333,0.8933333333333333,0.8333333333333334,,,0.8866666666666667,0.8466666666666667,0.52,0.42,1.0,0.7266666666666667
16941941_600_10,16941941,600,10,0.8766666666666667,0.87,0.88,0.8633333333333333,0.8733333333333333,0.84,,,0.9066666666666666,0.86,0.72,0.4166666666666667,1.0,0.75
25457723_600_10,25457723,600,10,0.9366666666666666,0.86,0.9866666666666667,0.8633333333333333,0.9466666666666667,0.85,,,0.9333333333333333,0.8566666666666667,0.54,0.41333333333333333,0.9966666666666667,0.7
3748045_600_10,3748045,600,10,0.8333333333333334,0.86,0.82,0.8566666666666667,0.8233333333333334,0.8033333333333333,,,0.88,0.8266666666666667,0.79,0.41333333333333333,1.0,0.71
67903961_600_10,67903961,600,10,0.8133333333333334,0.8733333333333333,0.8366666666666667,0.8533333333333334,0.9066666666666666,0.8166666666666667,,,0.8233333333333334,0.85,0.7233333333333334,0.4066666666666667,1.0,0.6966666666666667
29217500_600_10,29217500,600,10,0.9266666666666666,0.8566666666666667,0.96,0.8566666666666667,0.8933333333333333,0.8233333333333334,,,0.88,0.8533333333333334,0.5433333333333333,0.43666666666666665,1.0,0.7133333333333334
46968337_600_10,46968337,600,10,0.8933333333333333,0.8433333333333334,0.9,0.8366666666666667,0.86,0.8133333333333334,,,0.9366666666666666,0.82,0.74,0.44333333333333336,1.0,0.6933333333333334
77004453_600_10,77004453,600,10,0.8533333333333334,0.8433333333333334,0.8666666666666667,0.8533333333333334,0.9,0.8233333333333334,,,0.8833333333333333,0.8366666666666667,0.4866666666666667,0.43,1.0,0.73
71649299_600_10,71649299,600,10,0.9133333333333333,0.84,0.9266666666666666,0.8366666666666667,0.9066666666666666,0.82,,,0.8466666666666667,0.8166666666666667,0.4866666666666667,0.41333333333333333,1.0,0.6866666666666666
67020850_600_10,67020850,600,10,0.8766666666666667,0.87,0.92,0.85,0.9333333333333333,0.8333333333333334,,,0.9633333333333334,0.84,0.65,0.44666666666666666,1.0,0.7366666666666667
67751225_600_10,67751225,600,10,0.8633333333333333,0.8566666666666667,0.88,0.8633333333333333,0.8266666666666667,0.8266666666666667,,,0.8533333333333334,0.8366666666666667,0.7466666666666667,0.45,1.0,0.6766666666666666
22364835_600_10,22364835,600,10,0.8,0.8166666666666667,0.7933333333333333,0.8233333333333334,0.8366666666666667,0.8033333333333333,,,0.9233333333333333,0.8066666666666666,0.52,0.4066666666666667,1.0,0.6966666666666667
68118828_600_10,68118828,600,10,0.88,0.87,0.8633333333333333,0.86,0.8633333333333333,0.8366666666666667,,,0.89,0.8566666666666667,0.7066666666666667,0.4633333333333333,1.0,0.6966666666666667
83178315_600_10,83178315,600,10,0.8733333333333333,0.88,0.86,0.8766666666666667,0.9433333333333334,0.8266666666666667,,,0.89,0.8666666666666667,0.5266666666666666,0.43,1.0,0.7633333333333333
