,score_type,score_value
0,"Untrained
QKA
train",0.7966666666666666
1,"Untrained
QKA
test",0.73
2,"Trained
QKA
train",0.85
3,"Trained
QKA
test",0.8066666666666666
4,"SVC
train",0.85
5,"SVC
test",0.85
6,"Untrained
QKA
train",0.8533333333333334
7,"Untrained
QKA
test",0.8266666666666667
8,"Trained
QKA
train",0.8666666666666667
9,"Trained
QKA
test",0.8366666666666667
10,"SVC
train",0.87
11,"SVC
test",0.85
12,"Untrained
QKA
train",0.7666666666666667
13,"Untrained
QKA
test",0.73
14,"Trained
QKA
train",0.8566666666666667
15,"Trained
QKA
test",0.8133333333333334
16,"SVC
train",0.85
17,"SVC
test",0.83
18,"Untrained
QKA
train",0.8566666666666667
19,"Untrained
QKA
test",0.8
20,"Trained
QKA
train",0.8533333333333334
21,"Trained
QKA
test",0.82
22,"SVC
train",0.8966666666666666
23,"SVC
test",0.8766666666666667
24,"Untrained
QKA
train",0.83
25,"Untrained
QKA
test",0.79
26,"Trained
QKA
train",0.8266666666666667
27,"Trained
QKA
test",0.78
28,"SVC
train",0.8466666666666667
29,"SVC
test",0.85
30,"Untrained
QKA
train",0.86
31,"Untrained
QKA
test",0.8033333333333333
32,"Trained
QKA
train",0.85
33,"Trained
QKA
test",0.8066666666666666
34,"SVC
train",0.8666666666666667
35,"SVC
test",0.8366666666666667
36,"Untrained
QKA
train",0.87
37,"Untrained
QKA
test",0.8
38,"Trained
QKA
train",0.8966666666666666
39,"Trained
QKA
test",0.8333333333333334
40,"SVC
train",0.92
41,"SVC
test",0.84
42,"Untrained
QKA
train",0.79
43,"Untrained
QKA
test",0.7633333333333333
44,"Trained
QKA
train",0.8333333333333334
45,"Trained
QKA
test",0.7933333333333333
46,"SVC
train",0.8566666666666667
47,"SVC
test",0.8666666666666667
48,"Untrained
QKA
train",0.7366666666666667
49,"Untrained
QKA
test",0.7733333333333333
50,"Trained
QKA
train",0.8233333333333334
51,"Trained
QKA
test",0.84
52,"SVC
train",0.83
53,"SVC
test",0.8666666666666667
54,"Untrained
QKA
train",0.8433333333333334
55,"Untrained
QKA
test",0.7933333333333333
56,"Trained
QKA
train",0.87
57,"Trained
QKA
test",0.8133333333333334
58,"SVC
train",0.9
59,"SVC
test",0.85
60,"Untrained
QKA
train",0.8366666666666667
61,"Untrained
QKA
test",0.8066666666666666
62,"Trained
QKA
train",0.8833333333333333
63,"Trained
QKA
test",0.86
64,"SVC
train",0.8833333333333333
65,"SVC
test",0.88
66,"Untrained
QKA
train",0.71
67,"Untrained
QKA
test",0.67
68,"Trained
QKA
train",0.8766666666666667
69,"Trained
QKA
test",0.8566666666666667
70,"SVC
train",0.87
71,"SVC
test",0.8633333333333333
72,"Untrained
QKA
train",0.7933333333333333
73,"Untrained
QKA
test",0.79
74,"Trained
QKA
train",0.89
75,"Trained
QKA
test",0.85
76,"SVC
train",0.8866666666666667
77,"SVC
test",0.8833333333333333
78,"Untrained
QKA
train",0.8633333333333333
79,"Untrained
QKA
test",0.7633333333333333
80,"Trained
QKA
train",0.87
81,"Trained
QKA
test",0.77
82,"SVC
train",0.9133333333333333
83,"SVC
test",0.79
84,"Untrained
QKA
train",0.8366666666666667
85,"Untrained
QKA
test",0.86
86,"Trained
QKA
train",0.8566666666666667
87,"Trained
QKA
test",0.8666666666666667
88,"SVC
train",0.8666666666666667
89,"SVC
test",0.88
90,"Untrained
QKA
train",0.8833333333333333
91,"Untrained
QKA
test",0.8433333333333334
92,"Trained
QKA
train",0.8933333333333333
93,"Trained
QKA
test",0.8633333333333333
94,"SVC
train",0.8933333333333333
95,"SVC
test",0.89
96,"Untrained
QKA
train",0.8533333333333334
97,"Untrained
QKA
test",0.8166666666666667
98,"Trained
QKA
train",0.8566666666666667
99,"Trained
QKA
test",0.87
100,"SVC
train",0.84
101,"SVC
test",0.89
102,"Untrained
QKA
train",0.7866666666666666
103,"Untrained
QKA
test",0.77
104,"Trained
QKA
train",0.8133333333333334
105,"Trained
QKA
test",0.8166666666666667
106,"SVC
train",0.8466666666666667
107,"SVC
test",0.84
108,"Untrained
QKA
train",0.8066666666666666
109,"Untrained
QKA
test",0.8233333333333334
110,"Trained
QKA
train",0.82
111,"Trained
QKA
test",0.84
112,"SVC
train",0.87
113,"SVC
test",0.87
114,"Untrained
QKA
train",0.8933333333333333
115,"Untrained
QKA
test",0.8066666666666666
116,"Trained
QKA
train",0.89
117,"Trained
QKA
test",0.8
118,"SVC
train",0.8966666666666666
119,"SVC
test",0.8333333333333334
120,"Untrained
QKA
train",0.86
121,"Untrained
QKA
test",0.82
122,"Trained
QKA
train",0.85
123,"Trained
QKA
test",0.7733333333333333
124,"SVC
train",0.8466666666666667
125,"SVC
test",0.7966666666666666
126,"Untrained
QKA
train",0.7466666666666667
127,"Untrained
QKA
test",0.6933333333333334
128,"Trained
QKA
train",0.86
129,"Trained
QKA
test",0.78
130,"SVC
train",0.9033333333333333
131,"SVC
test",0.8533333333333334
132,"Untrained
QKA
train",0.8766666666666667
133,"Untrained
QKA
test",0.8566666666666667
134,"Trained
QKA
train",0.87
135,"Trained
QKA
test",0.8333333333333334
136,"SVC
train",0.88
137,"SVC
test",0.89
138,"Untrained
QKA
train",0.85
139,"Untrained
QKA
test",0.8
140,"Trained
QKA
train",0.86
141,"Trained
QKA
test",0.7866666666666666
142,"SVC
train",0.8633333333333333
143,"SVC
test",0.8133333333333334
144,"Untrained
QKA
train",0.78
145,"Untrained
QKA
test",0.7533333333333333
146,"Trained
QKA
train",0.8566666666666667
147,"Trained
QKA
test",0.8433333333333334
148,"SVC
train",0.87
149,"SVC
test",0.8533333333333334
150,"Untrained
QKA
train",0.77
151,"Untrained
QKA
test",0.7433333333333333
152,"Trained
QKA
train",0.85
153,"Trained
QKA
test",0.8
154,"SVC
train",0.9033333333333333
155,"SVC
test",0.8366666666666667
156,"Untrained
QKA
train",0.7666666666666667
157,"Untrained
QKA
test",0.7333333333333333
158,"Trained
QKA
train",0.85
159,"Trained
QKA
test",0.8066666666666666
160,"SVC
train",0.9066666666666666
161,"SVC
test",0.86
162,"Untrained
QKA
train",0.8866666666666667
163,"Untrained
QKA
test",0.83
164,"Trained
QKA
train",0.87
165,"Trained
QKA
test",0.8433333333333334
166,"SVC
train",0.8666666666666667
167,"SVC
test",0.8533333333333334
168,"Untrained
QKA
train",0.7533333333333333
169,"Untrained
QKA
test",0.7266666666666667
170,"Trained
QKA
train",0.83
171,"Trained
QKA
test",0.8166666666666667
172,"SVC
train",0.8066666666666666
173,"SVC
test",0.8533333333333334
174,"Untrained
QKA
train",0.67
175,"Untrained
QKA
test",0.6966666666666667
176,"Trained
QKA
train",0.83
177,"Trained
QKA
test",0.8366666666666667
178,"SVC
train",0.8566666666666667
179,"SVC
test",0.8833333333333333
180,"Untrained
QKA
train",0.7833333333333333
